date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-12-27,3℃,-7℃,晴~多云,南风,1-2级,55,良,2
2016-12-28,5℃,-6℃,晴,北风,3-4级,116,轻度污染,3
2016-12-29,5℃,-6℃,晴~多云,南风,1-2级,78,良,2
2016-12-30,3℃,-6℃,霾,南风,1-2级,344,严重污染,6
2016-12-31,4℃,-6℃,霾,南风,1-2级,424,严重污染,6
2017-01-01,5℃,-3℃,霾,南风,1-2级,461,严重污染,6
2017-01-02,8℃,-6℃,晴~霾,南风,1-2级,314,严重污染,6
2017-01-03,5℃,-5℃,霾,南风,1-2级,396,严重污染,6
2017-01-04,7℃,-5℃,霾,北风,1-2级,428,严重污染,6
2017-01-05,3℃,-4℃,霾,北风,1-2级,276,重度污染,5
2017-01-06,5℃,-2℃,霾,南风,1-2级,252,重度污染,5
2017-01-07,2℃,-3℃,小雪~雾,北风,1-2级,226,重度污染,5
2017-01-08,6℃,-4℃,阴~晴,北风,1-2级,95,良,2
2017-01-09,4℃,-4℃,晴,南风,1-2级,50,优,1
2017-01-10,5℃,-6℃,晴,北风,1-2级,60,良,2
2017-01-11,6℃,-5℃,晴,南风,1-2级,123,轻度污染,3
2017-01-12,6℃,-4℃,晴,南风,1-2级,72,良,2
2017-01-13,4℃,-6℃,晴,北风,3-4级,22,优,1
2017-01-14,4℃,-7℃,晴,南风,1-2级,32,优,1
2017-01-15,2℃,-5℃,霾,南风,1-2级,63,良,2
2017-01-16,1℃,-4℃,霾~雾,东风,1-2级,109,轻度污染,3
2017-01-17,6℃,-6℃,多云~晴,北风,1-2级,181,中度污染,4
2017-01-18,3℃,-4℃,多云~小雪,南风,1-2级,63,良,2
